secCode,secName,orgId,announcementTitle,adjunctUrl
2159,三特索道,9900003435,三特索道2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357532.PDF
576,甘化科工,gssz0000576,甘化科工2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357407.PDF
300690,双一科技,9900031822,双一科技2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357359.PDF
2598,山东章鼓,9900020704,山东章鼓2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357328.PDF
688766,普冉股份,nssc1000720,普冉股份普冉半导体（上海）股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357168.PDF
900,现代投资,gssz0000900,现代投资2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216357115.PDF
2886,沃特股份,9900031440,沃特股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356805.PDF
688368,晶丰明源,9900036061,上海晶丰明源半导体股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356714.PDF
688015,交控科技,9900038993,交控科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356675.PDF
2539,云图控股,9900017116,云图控股2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356612.PDF
510,新金路,gssz0000510,新金路2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356529.PDF
601619,嘉泽新能,9900031909,宁夏嘉泽新能源股份有限公司2022 年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356414.PDF
601228,广州港,9900029141,广州港股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356405.PDF
601228,广州港,9900029141,广州港股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356398.PDF
600993,马应龙,gssh0600993,马应龙2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356378.PDF
600120,浙江东方,gssh0600120,浙江东方金融控股集团股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356349.PDF
400,许继电气,gssz0000400,许继电气2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356279.PDF
2079,苏州固锝,9900001221,苏州固锝2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356162.PDF
710,贝瑞基因,gssz0000710,贝瑞基因2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356081.PDF
2302,西部建设,9900008615,西部建设2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216356054.PDF
603689,皖天然气,9900026998,皖天然气安徽省天然气开发股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355989.PDF
603501,韦尔股份,9900030772,韦尔股份2022年年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355943.PDF
603027,千禾味业,9900024904,千禾味业食品股份有限公司2022年年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355913.PDF
601218,吉鑫科技,9900019427,吉鑫科技江苏吉鑫风能科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355896.PDF
600729,重庆百货,gssh0600729,重庆百货大楼股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355863.PDF
688619,罗普特,9900041860,罗普特科技集团股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355644.PDF
603069,海汽集团,9900024949,海汽集团2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355586.PDF
600746,江苏索普,gssh0600746,江苏索普2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355562.PDF
600162,香江控股,gssh0600162,香江控股2022年年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355548.PDF
605208,永茂泰,9900039946,永茂泰2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355243.PDF
600361,创新新材,gssh0600361,创新新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355190.PDF
2802,洪汇新材,9900024761,洪汇新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355133.PDF
301215,中汽股份,9900046650,中汽股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355047.PDF
419,通程控股,gssz0000419,通程控股2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216355030.PDF
603290,斯达半导,9900023794,斯达半导2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354932.PDF
603029,天鹅股份,9900024504,天鹅股份山东天鹅棉业机械股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354553.PDF
417,合肥百货,gssz0000417,合肥百货2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354339.PDF
603328,依顿电子,9900023118,依顿电子2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354314.PDF
600894,广日股份,gssh0600894,广州广日股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354281.PDF
600620,天宸股份,gssh0600620,上海市天宸股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354245.PDF
688739,成大生物,gfbj0831550,成大生物2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216354088.PDF
2697,红旗连锁,9900023218,红旗连锁2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216353702.PDF
900957,凌云Ｂ股,gssh0900957,凌云Ｂ股凌云B股2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-08/1216353501.PDF
839725,惠丰钻石,gfbj0839725,惠丰钻石2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216355808.PDF
870199,倍益康,gfbj0870199,倍益康2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216355282.PDF
836247,华密新材,gfbj0836247,华密新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216355275.PDF
832089,禾昌聚合,gfbj0832089,禾昌聚合2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216355024.PDF
300268,佳沃食品,9900021173,佳沃食品2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346821.PDF
300666,江丰电子,9900031914,江丰电子2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346771.PDF
688617,惠泰医疗,nssc1000047,惠泰医疗2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346713.PDF
600222,太龙药业,gssh0600222,太龙药业2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346691.PDF
300070,碧水源,9900011168,碧水源2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346659.PDF
2180,纳思达,9900003822,纳思达2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346613.PDF
301288,清研环境,9900048763,清研环境2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346605.PDF
603579,荣泰健康,9900029801,上海荣泰健康科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346508.PDF
2670,国盛金控,9900022401,国盛金控2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346428.PDF
300910,瑞丰新材,9900039829,瑞丰新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346412.PDF
300596,利安隆,9900027552,利安隆2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346293.PDF
2449,国星光电,9900013434,国星光电2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346248.PDF
603128,华贸物流,9900022718,华贸物流港中旅华贸国际物流股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346212.PDF
603102,百合股份,9900039756,百合股份威海百合生物技术股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346177.PDF
2959,小熊电器,9900037093,小熊电器2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346105.PDF
300528,幸福蓝海,9900023929,幸福蓝海2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216346018.PDF
688103,国力股份,9900035534,国力股份昆山国力电子科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345898.PDF
600323,瀚蓝环境,gssh0600323,瀚蓝环境2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345869.PDF
600323,瀚蓝环境,gssh0600323,瀚蓝环境股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345867.PDF
603063,禾望电气,9900031488,深圳市禾望电气股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345818.PDF
300940,南极光,9900041751,南极光2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345686.PDF
301265,华新环保,gfbj0837117,华新环保2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345660.PDF
688418,震有科技,9900035556,震有科技2022年年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345581.PDF
605338,巴比食品,9900039853,巴比食品2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345539.PDF
301326,捷邦科技,9900047623,捷邦科技2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345403.PDF
603949,雪龙集团,9900034647,雪龙集团股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345293.PDF
601666,平煤股份,9900001301,平煤股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216345260.PDF
600232,金鹰股份,gssh0600232,金鹰股份：2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344997.PDF
300298,三诺生物,9900021769,三诺生物2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344605.PDF
688062,迈威生物,nssc1000843,迈威生物2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344537.PDF
603214,爱婴室,9900023309,上海爱婴室商务服务有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344511.PDF
2368,太极股份,9900010929,太极股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344377.PDF
300870,欧陆通,9900039796,欧陆通2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344304.PDF
300505,川金诺,9900024629,川金诺2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344238.PDF
2624,完美世界,9900021520,完美世界2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216344110.PDF
688679,通源环境,gfbj0834778,通源环境2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343994.PDF
688150,莱特光电,gfbj0835249,陕西莱特光电材料股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343961.PDF
600558,大西洋,gssh0600558,大西洋2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343924.PDF
